Product_ID,Product_Name,Category,Price,Quantity_Sold,Brand,Release_Year,Ratings
232,Toaster,Office Supplies,1395.42,318.0,TP-Link,2022,4.4
116,Smart TV,Electronics,1000.0,55.0,Samsung,2022,4.4
110,Printer,Office Supplies,150.0,110.0,Canon,2022,4.3
137,Fitness Band,Wearable,150.0,,Garmin,2022,4.9
125,HDD,Storage,130.0,85.0,Western Digital,2023,4.8
136,Smart Doorbell,Smart Home,180.0,70.0,Ring,2023,4.8
154,Smartphone,Wearable,1383.74,302.0,Canon,2023,4.6
299,Smart Doorbell,Smart Home,976.03,169.0,Dell,2023,4.5
164,Blender,Gaming,169.92,488.0,Garmin,2023,4.6
142,Air Purifier,Home Appliances,220.0,60.0,Dyson,2023,4.6
149,Oven,Home Appliances,320.0,100.0,Bosch,2023,4.8
204,Washing Machine,Accessories,806.92,247.0,Wacom,2023,
126,Monitor,Electronics,737.47,372.0,Apple,2023,4.8
109,Smart Light,Gaming,1062.43,436.0,Logitech,2023,
296,USB Flash Drive,Office Supplies,248.98,347.0,iRobot,2023,3.8
296,Fitness Band,Smart Home,952.35,287.0,Dyson,2023,4.0
252,Smart TV,Home Appliances,1295.23,16.0,Blue Yeti,2023,4.1
119,VR Headset,Gaming,600.0,35.0,Oculus,2023,4.9
119,Smart Doorbell,Networking,1217.54,372.0,Breville,2023,4.5
168,Smartwatch,Audio,756.07,426.0,Bose,2023,
